Bilateral_ACC,Bilateral_Amyg,BNST,Bilateral_Hipp,Locus_Coer,Bilateral_Lateral_Hypothal,Bilateral_NAc,PAG,Bilateral_dlPFC,Bilateral_mPFC,PVT_dilate2,sub_id
0.133333333333333,0,0.0222222222222222,0.422222222222222,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0888888888888889,0,0,27
0,0.0888888888888889,0.311111111111111,0,0.177777777777778,0,0.0666666666666667,0.177777777777778,0.0888888888888889,0,0,38
0.177777777777778,0,0.155555555555556,0.222222222222222,0.111111111111111,0.0444444444444444,0.0666666666666667,0,0.111111111111111,0.0444444444444444,0.133333333333333,44
0,0.244444444444444,0.0888888888888889,0.0222222222222222,0,0,0.266666666666667,0.222222222222222,0.0666666666666667,0.0666666666666667,0,99
0.0222222222222222,0.133333333333333,0.111111111111111,0,0,0,0.355555555555556,0,0.155555555555556,0.0222222222222222,0.111111111111111,105
0.177777777777778,0.244444444444444,0.0222222222222222,0.266666666666667,0,0.0222222222222222,0.0666666666666667,0.0222222222222222,0,0.288888888888889,0,115
0.0444444444444444,0,0.0666666666666667,0.133333333333333,0.155555555555556,0.0222222222222222,0.2,0.0444444444444444,0.0666666666666667,0.0222222222222222,0.111111111111111,117
0.0888888888888889,0.0888888888888889,0.0444444444444444,0,0.0444444444444444,0,0.133333333333333,0.111111111111111,0.111111111111111,0.244444444444444,0.0444444444444444,119
0.155555555555556,0,0,0.377777777777778,0.0666666666666667,0.2,0.2,0.0444444444444444,0,0.0222222222222222,0,514
0.222222222222222,0.0666666666666667,0.0666666666666667,0.0222222222222222,0.0444444444444444,0,0.244444444444444,0.0222222222222222,0,0.333333333333333,0,518
0.0444444444444444,0.177777777777778,0.0222222222222222,0,0.0444444444444444,0.0444444444444444,0.0666666666666667,0.266666666666667,0.0666666666666667,0.2,0,520
0.4,0.0666666666666667,0,0.0666666666666667,0,0,0.0666666666666667,0,0.111111111111111,0.155555555555556,0.2,521
0.244444444444444,0.466666666666667,0.0666666666666667,0,0,0,0,0.244444444444444,0.0888888888888889,0.0222222222222222,0.111111111111111,542
0.133333333333333,0,0.0222222222222222,0.0888888888888889,0,0.333333333333333,0,0,0,0.177777777777778,0.177777777777778,548
0,0,0,0.355555555555556,0,0.133333333333333,0.0444444444444444,0.2,0.311111111111111,0.133333333333333,0.0444444444444444,555
0.0666666666666667,0.2,0,0.222222222222222,0.0222222222222222,0,0.266666666666667,0,0.111111111111111,0.0222222222222222,0.0888888888888889,565
0.111111111111111,0.0888888888888889,0.0222222222222222,0.0666666666666667,0,0,0,0,0.266666666666667,0.377777777777778,0.0444444444444444,567
0,0.466666666666667,0,0.2,0,0,0.133333333333333,0,0,0.333333333333333,0,575
0.0888888888888889,0.177777777777778,0.111111111111111,0.0888888888888889,0,0,0.155555555555556,0,0.0222222222222222,0.266666666666667,0.0222222222222222,577
0.0888888888888889,0.377777777777778,0.0222222222222222,0.288888888888889,0,0,0.111111111111111,0,0,0.2,0.177777777777778,580
0.0444444444444444,0.0222222222222222,0,0,0,0.0444444444444444,0.555555555555556,0.0888888888888889,0,0.222222222222222,0.0444444444444444,582
0.0888888888888889,0.0666666666666667,0.0888888888888889,0.0222222222222222,0,0.177777777777778,0.2,0,0.133333333333333,0.222222222222222,0.0444444444444444,588
0.0444444444444444,0.266666666666667,0.155555555555556,0.177777777777778,0,0.0222222222222222,0,0,0.133333333333333,0.0888888888888889,0.0666666666666667,595
0.288888888888889,0.155555555555556,0,0.0222222222222222,0.0444444444444444,0.0222222222222222,0.177777777777778,0,0.0666666666666667,0.177777777777778,0,599
0,0.0666666666666667,0,0,0,0.0444444444444444,0.2,0.0888888888888889,0.0666666666666667,0.488888888888889,0,600
0.177777777777778,0.288888888888889,0.2,0.177777777777778,0,0,0,0,0,0.266666666666667,0,603
0,0,0.0888888888888889,0.222222222222222,0,0.111111111111111,0.177777777777778,0.133333333333333,0.0444444444444444,0.111111111111111,0.0444444444444444,609
0.0666666666666667,0.0666666666666667,0,0.377777777777778,0,0,0.155555555555556,0.0444444444444444,0,0.288888888888889,0,610
0.2,0,0,0.333333333333333,0,0,0.111111111111111,0.0444444444444444,0.0666666666666667,0,0.244444444444444,619
