27,0.42317,0.56209,0.53251,0.50292,0.47334,0.44375,0.41417,0,0.37273,0.32677,0.33134,0.3158,0.30026,0.3073,0.29716,0.25364,0.27687,0.2353,0.25658
38,0.6209,0.57116,0.54203,0.52013,0.49042,0.4607,0.44108,0,0.41003,0.39451,0.37899,0.36346,0.34794,0.33498,0.32587,0.31676,0.30765,0.29854,0.28942
44,0.66498,0.58236,0.56927,0.58918,0.56392,0.54187,0.52346,0,0.49072,0.47763,0.46454,0.45144,0.43835,0.42526,0.41217,0.39908,0.38599,0.37289,0.3598
99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,0.57263,0.49315,0.48146,0.53971,0.50797,0.48132,0.46306,0,0.42653,0.40827,0.39001,0.37627,0.36458,0.3529,0.34121,0.32952,0.31783,0.30615,0.29446
115,0.4513,0.44096,0.43061,0.42026,0.3562,0.34908,0.34196,0,0.32772,0.3206,0.36096,0.34902,0.33708,0.32514,0.3132,0.30126,0.28931,0.27737,0.26543
117,0.64159,0.60951,0.57743,0.54535,0.51327,0.48119,0.44911,0,0.38495,0.36893,0.35595,0.36853,0.33113,0.31872,0.3063,0.29389,0.28148,0.26907,0.25666
119,0.69415,0.51947,0.45535,0.44562,0.43589,0.52061,0.48591,0,0.4408,0.42052,0.40024,0.38126,0.36961,0.35797,0.34633,0.33468,0.32304,0.3114,0.29975
514,0.55806,0.53123,0.53173,0.48987,0.47467,0.45946,0.44426,0,0.41385,0.39865,0.38345,0.35737,0.34431,0.33126,0.3182,0.31587,0.30629,0.29672,0.28714
518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
